"Code","Date","Observed","Suggested","Anomaly (std.devs.)","Deleted"
p001,2010-02-21,0,18.4,-5.02,0
p001,2010-04-05,29.2,1.6,7.51,0
p001,2011-01-29,1.3,21.6,-5.53,0
p001,2011-02-02,0,18.9,-5.16,0
p001,2012-11-01,41.2,4.3,10.05,0
p001,2014-01-04,0,21.4,-5.84,0
p001,2014-03-04,34.9,1,9.22,0
p002,2003-03-07,37.1,12.6,7.66,0
p002,2004-03-25,38.6,3,11.12,0
p002,2007-02-27,36.3,4,10.08,0
p002,2009-12-26,36.3,9.8,8.27,0
p002,2012-12-08,36.9,9.2,8.66,0
p002,2013-05-04,27.9,0.2,8.65,0
p003,1986-01-04,0,18.7,-4.86,0
p003,1986-01-12,0,26.7,-6.96,0
p003,1986-01-13,0,19.1,-4.98,0
p003,1986-01-15,0,24.1,-6.27,0
p003,1986-01-16,0,20.1,-5.25,0
p003,1986-01-27,2.5,26.8,-6.32,0
p003,1986-03-09,1.4,22.4,-5.47,0
p003,1986-05-01,0,24.9,-6.49,0
p003,1986-10-04,0,20.9,-5.43,0
p003,1986-11-05,0,20.1,-5.24,0
p003,1987-03-08,3.9,23.9,-5.22,0
p003,1988-01-25,0,26.7,-6.95,0
p003,1995-03-12,32.2,4.1,7.31,0
p003,2011-03-29,0,20,-5.22,0
p003,2011-10-29,33.2,4.5,7.45,0
p003,2012-01-04,40.8,0.4,10.52,0
p003,2012-11-01,0,21.7,-5.64,0
p003,2014-09-18,0,19.6,-5.12,0
p003,2015-01-19,4,29,-6.5,0
p003,2015-02-15,12,31.5,-5.08,0
p003,2015-02-17,29.8,0,7.75,0
p003,2017-03-29,1.6,21.3,-5.14,0
p003,2017-11-17,3.9,24.4,-5.34,0
p004,1995-04-07,0.8,20,-5.52,0
p004,1995-12-22,36.6,6.1,8.75,0
p004,1996-01-20,32.5,6.8,7.38,0
p004,1998-01-24,35.5,10.6,7.14,0
p004,1998-02-24,31.5,2.6,8.3,0
p004,1998-10-12,6.8,24.1,-4.96,0
p004,2008-10-17,39,3.1,10.31,0
p004,2011-03-29,36.5,9.2,7.82,0
p002,1986-01-04,31.5,0,9.25,0
p002,1986-01-06,40.7,2.8,11.12,0
p002,1986-01-10,40.2,3,10.93,0
p002,1986-01-12,40,2.4,11.05,0
p002,1986-01-13,29.6,1.3,8.33,0
p002,1988-02-11,0,23.8,-6.94,0
p002,1996-04-10,0,19.5,-5.68,0
p002,2001-01-13,33.3,5.1,7.34,0
p002,2001-02-20,28.8,0,7.51,0
p001,1987-03-08,36.5,4.1,8.83,0
p001,1988-02-11,40.8,5.9,9.5,0
p001,1995-02-19,29.8,3.8,7.09,0
p001,1998-10-12,34.3,7.5,7.31,0
p001,1999-02-24,0.2,25.1,-6.78,0
p001,2001-04-07,2.6,20.6,-4.92,0
p001,2003-03-07,2.2,23.2,-5.72,0
p001,2005-02-27,34.4,4,8.27,0
p001,2007-03-28,30,1.2,7.85,0
p001,2009-04-11,3.4,26.3,-6.23,0
p001,2009-04-12,32.7,2.1,8.34,0
p001,2009-12-24,35.8,2.3,9.11,0
p001,2010-02-21,0,18.4,-5.01,0
p001,2010-04-05,29.2,1.6,7.51,0
p001,2011-01-29,1.3,21.6,-5.52,0
p001,2011-02-02,0,18.9,-5.15,0
p001,2012-11-01,41.2,4.3,10.05,0
p001,2014-01-04,0,21.4,-5.83,0
p001,2014-03-04,34.9,1,9.22,0
p002,2003-03-07,37.1,12.6,7.67,0
p002,2004-03-25,38.6,3,11.12,0
p002,2007-02-27,36.3,4,10.08,0
p002,2009-12-26,36.3,9.8,8.27,0
p002,2012-12-08,36.9,9.2,8.66,0
p002,2013-05-04,27.9,0.2,8.65,0
p003,1986-01-04,0,19,-4.96,0
p003,1986-01-12,0,27.2,-7.09,0
p003,1986-01-13,0,19.5,-5.09,0
p003,1986-01-15,0,24.5,-6.39,0
p003,1986-01-16,0,20.5,-5.35,0
p003,1986-01-27,2.5,27.2,-6.45,0
p003,1986-03-09,1.4,22.7,-5.57,0
p003,1986-05-01,0,25.3,-6.6,0
p003,1986-10-04,0,21.1,-5.51,0
p003,1986-11-05,0,20.4,-5.33,0
p003,1987-03-08,3.9,24,-5.25,0
p003,1988-01-25,0,27,-7.05,0
p003,1990-05-19,0,18.7,-4.87,0
p003,1995-03-12,32.2,4.1,7.32,0
p003,2011-03-29,0,20,-5.23,0
p003,2011-10-29,33.2,4.5,7.47,0
p003,2012-01-04,40.8,0.4,10.54,0
p003,2012-11-01,0,21.7,-5.66,0
p003,2014-09-18,0,19.7,-5.14,0
p003,2015-01-19,4,29,-6.53,0
p003,2015-02-15,12,31.5,-5.1,0
p003,2015-02-17,29.8,0,7.77,0
p003,2017-03-29,1.6,21.4,-5.16,0
p003,2017-11-17,3.9,24.4,-5.36,0
p004,1995-04-07,0.8,20.2,-5.59,0
p004,1995-12-22,36.6,6.2,8.73,0
p004,1996-01-20,32.5,6.8,7.37,0
p004,1998-01-24,35.5,10.6,7.14,0
p004,1998-02-24,31.5,2.6,8.3,0
p004,1998-10-12,6.8,24.1,-4.97,0
p004,2008-10-17,39,3.1,10.3,0
p004,2011-03-29,36.5,9.2,7.82,0
p002,1986-01-04,31.5,0,9.34,0
p002,1986-01-12,40,2.4,11.16,0
p002,1986-01-13,29.6,1.3,8.41,0
p002,1988-02-11,0,23.4,-6.9,0
p002,1996-04-10,0,19.2,-5.64,0
p002,2001-01-13,33.3,5.2,7.33,0
p002,2001-02-20,28.8,0,7.51,0
p003,1986-01-12,0,27.5,-7.18,1
p001,1987-03-08,36.5,4.1,8.81,0
p001,1988-02-11,40.8,5.9,9.5,0
p001,1995-02-19,29.8,3.8,7.09,0
p001,1998-10-12,34.3,7.5,7.31,0
p001,1999-02-24,0.2,25.1,-6.78,0
p001,2001-04-07,2.6,20.6,-4.92,0
p001,2003-03-07,2.2,23.2,-5.72,0
p001,2005-02-27,34.4,4,8.27,0
p001,2007-03-28,30,1.2,7.85,0
p001,2009-04-11,3.4,26.3,-6.23,0
p001,2009-04-12,32.7,2.1,8.34,0
p001,2009-12-24,35.8,2.3,9.11,0
p001,2010-02-21,0,18.4,-5.01,0
p001,2010-04-05,29.2,1.6,7.51,0
p001,2011-01-29,1.3,21.6,-5.52,0
p001,2011-02-02,0,18.9,-5.15,0
p001,2012-11-01,41.2,4.3,10.05,0
p001,2014-01-04,0,21.4,-5.83,0
p001,2014-03-04,34.9,1,9.22,0
p002,2003-03-07,37.1,12.6,7.66,0
p002,2004-03-25,38.6,3,11.12,0
p002,2007-02-27,36.3,4,10.07,0
p002,2009-12-26,36.3,9.8,8.27,0
p002,2012-12-08,36.9,9.2,8.66,0
p002,2013-05-04,27.9,0.2,8.65,0
p003,1986-01-04,0,19.3,-5.02,0
p003,1986-01-13,0,19.7,-5.15,0
p003,1986-01-15,0,24.8,-6.46,0
p003,1986-01-16,0,20.7,-5.41,0
p003,1986-01-27,2.5,27.5,-6.53,0
p003,1986-03-09,1.4,23,-5.64,0
p003,1986-05-01,0,25.6,-6.67,0
p003,1986-10-04,0,21.3,-5.57,0
p003,1986-11-05,0,20.6,-5.38,0
p003,1987-03-08,3.9,24,-5.25,0
p003,1988-01-25,0,27.2,-7.1,0
p003,1990-05-19,0,18.8,-4.91,0
p003,1995-03-12,32.2,4.1,7.31,0
p003,2011-03-29,0,20,-5.22,0
p003,2011-10-29,33.2,4.5,7.47,0
p003,2012-01-04,40.8,0.4,10.54,0
p003,2012-11-01,0,21.6,-5.65,0
p003,2014-09-18,0,19.6,-5.12,0
p003,2015-01-19,4,29,-6.51,0
p003,2015-02-15,12,31.5,-5.08,0
p003,2015-02-17,29.8,0,7.76,0
p003,2017-03-29,1.6,21.3,-5.15,0
p003,2017-11-17,3.9,24.4,-5.35,0
p004,1995-04-07,0.8,20.5,-5.64,0
p004,1995-12-22,36.6,6.2,8.72,0
p004,1996-01-20,32.5,6.8,7.36,0
p004,1998-01-24,35.5,10.6,7.15,0
p004,1998-02-24,31.5,2.5,8.3,0
p004,1998-10-12,6.8,24.1,-4.97,0
p004,2008-10-17,39,3.1,10.3,0
p004,2011-03-29,36.5,9.2,7.82,0
p002,1986-01-04,31.5,0,9.37,0
p002,1986-01-12,40,2.3,11.2,0
p002,1986-01-13,29.6,1.2,8.44,0
p002,1988-02-11,0,23.1,-6.83,0
p002,1996-04-10,0,18.9,-5.59,0
p002,2001-01-13,33.3,5.2,7.32,0
p002,2001-02-20,28.8,0,7.51,0
p003,1988-01-25,0,27.4,-7.17,1
p001,1987-03-08,36.5,4.1,8.81,0
p001,1988-02-11,40.8,5.9,9.5,0
p001,1995-02-19,29.8,3.8,7.09,0
p001,1998-10-12,34.3,7.5,7.31,0
p001,1999-02-24,0.2,25,-6.77,0
p001,2001-04-07,2.6,20.6,-4.91,0
p001,2003-03-07,2.2,23.2,-5.71,0
p001,2005-02-27,34.4,4,8.27,0
p001,2007-03-28,30,1.2,7.85,0
p001,2009-04-11,3.4,26.3,-6.23,0
p001,2009-04-12,32.7,2.1,8.34,0
p001,2009-12-24,35.8,2.3,9.11,0
p001,2010-02-21,0,18.4,-5.01,0
p001,2010-04-05,29.2,1.6,7.51,0
p001,2011-01-29,1.3,21.6,-5.52,0
p001,2011-02-02,0,18.9,-5.15,0
p001,2012-11-01,41.2,4.3,10.06,0
p001,2014-01-04,0,21.4,-5.83,0
p001,2014-03-04,34.9,1,9.22,0
p002,2003-03-07,37.1,12.6,7.66,0
p002,2004-03-25,38.6,3,11.12,0
p002,2007-02-27,36.3,4,10.07,0
p002,2009-12-26,36.3,9.8,8.27,0
p002,2012-12-08,36.9,9.2,8.66,0
p002,2013-05-04,27.9,0.2,8.64,0
p003,1986-01-04,0,19.5,-5.09,0
p003,1986-01-13,0,20,-5.21,0
p003,1986-01-15,0,25.1,-6.54,0
p003,1986-01-16,0,21,-5.48,0
p003,1986-01-27,2.5,27.9,-6.62,0
p003,1986-02-04,11.3,29.9,-4.86,0
p003,1986-03-09,1.4,23.3,-5.71,0
p003,1986-05-01,0,25.9,-6.75,0
p003,1986-10-04,0,21.6,-5.64,0
p003,1986-11-05,0,20.9,-5.45,0
p003,1987-03-08,3.9,24.1,-5.26,0
p003,1990-05-19,0,19,-4.95,0
p003,1995-03-12,32.2,4.2,7.31,0
p003,2011-03-29,0,20,-5.22,0
p003,2011-10-29,33.2,4.5,7.48,0
p003,2012-01-04,40.8,0.4,10.55,0
p003,2012-11-01,0,21.6,-5.65,0
p003,2014-09-18,0,19.6,-5.13,0
p003,2015-01-19,4,28.9,-6.51,0
p003,2015-02-15,12,31.5,-5.09,0
p003,2015-02-17,29.8,0,7.77,0
p003,2017-03-29,1.6,21.3,-5.15,0
p003,2017-11-17,3.9,24.4,-5.35,0
p004,1995-04-07,0.8,20.6,-5.69,0
p004,1995-12-22,36.6,6.2,8.71,0
p004,1996-01-20,32.5,6.9,7.35,0
p004,1998-01-24,35.5,10.5,7.15,0
p004,1998-02-24,31.5,2.5,8.3,0
p004,1998-10-12,6.8,24.1,-4.97,0
p004,2008-10-17,39,3.1,10.3,0
p004,2011-03-29,36.5,9.2,7.82,0
p002,1986-01-04,31.5,0,9.42,0
p002,1986-01-13,29.6,1.2,8.48,0
p002,1988-02-11,0,22.8,-6.79,0
p002,1996-04-10,0,18.7,-5.56,0
p002,2001-01-13,33.3,5.2,7.32,0
p002,2001-02-20,28.8,0,7.5,0
p001,1987-03-08,36.5,4.2,8.79,0
p001,1988-02-11,40.8,5.9,9.49,0
p001,1995-02-19,29.8,3.8,7.08,0
p001,1998-10-12,34.3,7.5,7.3,0
p001,1999-02-24,0.2,25,-6.75,0
p001,2001-04-07,2.6,20.6,-4.9,0
p001,2003-03-07,2.2,23.2,-5.7,0
p001,2005-02-27,34.4,4,8.27,0
p001,2007-03-28,30,1.2,7.84,0
p001,2009-04-11,3.4,26.2,-6.22,0
p001,2009-04-12,32.7,2.1,8.34,0
p001,2009-12-24,35.8,2.3,9.1,0
p001,2010-02-21,0,18.4,-5,0
p001,2010-04-05,29.2,1.6,7.5,0
p001,2011-01-29,1.3,21.5,-5.51,0
p001,2011-02-02,0,18.9,-5.14,0
p001,2012-11-01,41.2,4.3,10.05,0
p001,2014-01-04,0,21.4,-5.82,0
p001,2014-03-04,34.9,1,9.22,0
p002,2003-03-07,37.1,12.6,7.66,0
p002,2004-03-25,38.6,3,11.12,0
p002,2007-02-27,36.3,4,10.07,0
p002,2009-12-26,36.3,9.8,8.27,0
p002,2012-12-08,36.9,9.2,8.66,0
p002,2013-05-04,27.9,0.2,8.64,0
p003,1986-01-04,0,19.7,-5.15,0
p003,1986-01-13,0,20.2,-5.28,0
p003,1986-01-15,0,25.3,-6.62,0
p003,1986-01-16,0,21.2,-5.55,0
p003,1986-01-27,2.5,28.2,-6.71,0
p003,1986-02-04,11.3,30.3,-4.96,0
p003,1986-03-09,1.4,23.5,-5.79,0
p003,1986-05-01,0,26.2,-6.84,0
p003,1986-10-04,0,21.9,-5.71,0
p003,1986-11-05,0,21.1,-5.52,0
p003,1987-03-08,3.9,24.1,-5.28,0
p003,1990-05-19,0,19.1,-5,0
p003,1995-03-12,32.2,4.2,7.32,0
p003,2011-03-29,0,20,-5.23,0
p003,2011-10-29,33.2,4.5,7.48,0
p003,2012-01-04,40.8,0.4,10.56,0
p003,2012-11-01,0,21.6,-5.66,0
p003,2014-09-18,0,19.6,-5.13,0
p003,2015-01-19,4,28.9,-6.52,0
p003,2015-02-15,12,31.5,-5.09,0
p003,2015-02-17,29.8,0,7.78,0
p003,2017-03-29,1.6,21.3,-5.16,0
p003,2017-11-17,3.9,24.4,-5.36,0
p004,1995-04-07,0.8,20.8,-5.73,0
p004,1995-12-22,36.6,6.2,8.7,0
p004,1996-01-20,32.5,6.9,7.35,0
p004,1998-01-24,35.5,10.5,7.16,0
p004,1998-02-24,31.5,2.5,8.3,0
p004,1998-10-12,6.8,24.1,-4.98,0
p004,2008-10-17,39,3.1,10.29,0
p004,2011-03-29,36.5,9.2,7.81,0
p002,1986-01-04,31.5,0,9.48,0
p002,1986-01-13,29.6,1.2,8.53,0
p002,1986-10-04,0,16.3,-4.89,0
p002,1987-11-10,26,2.6,7.04,0
p002,1988-02-11,0,22.6,-6.77,0
p002,1996-04-10,0,18.5,-5.54,0
p002,2001-01-13,33.3,5.2,7.31,0
p002,2001-02-20,28.8,0,7.5,0
p001,1987-03-08,36.5,4.2,8.79,0
p001,1988-02-11,40.8,5.9,9.49,0
p001,1995-02-19,29.8,3.8,7.08,0
p001,1998-10-12,34.3,7.5,7.3,0
p001,1999-02-24,0.2,25,-6.75,0
p001,2001-04-07,2.6,20.6,-4.9,0
p001,2003-03-07,2.2,23.1,-5.7,0
p001,2005-02-27,34.4,4,8.27,0
p001,2007-03-28,30,1.2,7.84,0
p001,2009-04-11,3.4,26.2,-6.22,0
p001,2009-04-12,32.7,2.1,8.34,0
p001,2009-12-24,35.8,2.3,9.1,0
p001,2010-02-21,0,18.4,-5,0
p001,2010-04-05,29.2,1.6,7.5,0
p001,2011-01-29,1.3,21.5,-5.51,0
p001,2011-02-02,0,18.9,-5.14,0
p001,2012-11-01,41.2,4.3,10.05,0
p001,2014-01-04,0,21.4,-5.82,0
p001,2014-03-04,34.9,1,9.22,0
p002,2003-03-07,37.1,12.6,7.66,0
p002,2004-03-25,38.6,3,11.11,0
p002,2007-02-27,36.3,4,10.07,0
p002,2009-12-26,36.3,9.8,8.26,0
p002,2012-12-08,36.9,9.2,8.66,0
p002,2013-05-04,27.9,0.2,8.64,0
p003,1986-01-04,0,19.9,-5.19,0
p003,1986-01-13,0,20.3,-5.32,0
p003,1986-01-15,0,25.6,-6.68,0
p003,1986-01-16,0,21.4,-5.59,0
p003,1986-01-27,2.5,28.4,-6.77,0
p003,1986-02-04,11.3,30.5,-5.03,0
p003,1986-03-09,1.4,23.8,-5.84,0
p003,1986-03-22,0,18.6,-4.86,0
p003,1986-05-01,0,26.4,-6.91,0
p003,1986-10-04,0,22.1,-5.77,0
p003,1986-11-05,0,21.3,-5.57,0
p003,1987-03-08,3.9,24.1,-5.28,0
p003,1990-05-19,0,19.2,-5.02,0
p003,1995-03-12,32.2,4.2,7.31,0
p003,2011-03-29,0,20,-5.22,0
p003,2011-10-29,33.2,4.5,7.48,0
p003,2012-01-04,40.8,0.4,10.55,0
p003,2012-11-01,0,21.6,-5.65,0
p003,2014-09-18,0,19.6,-5.12,0
p003,2015-01-19,4,28.9,-6.51,0
p003,2015-02-15,12,31.4,-5.08,0
p003,2015-02-17,29.8,0,7.78,0
p003,2017-03-29,1.6,21.3,-5.15,0
p003,2017-11-17,3.9,24.4,-5.35,0
p004,1995-04-07,0.8,20.9,-5.77,0
p004,1995-12-22,36.6,6.3,8.69,0
p004,1996-01-20,32.5,6.9,7.34,0
p004,1998-01-24,35.5,10.5,7.16,0
p004,1998-02-24,31.5,2.5,8.3,0
p004,1998-10-12,6.8,24.2,-4.98,0
p004,2008-10-17,39,3.1,10.29,0
p004,2011-03-29,36.5,9.2,7.81,0
p002,1986-01-04,31.5,0,9.5,0
p002,1986-01-13,29.6,1.3,8.55,0
p002,1986-10-04,0,16.4,-4.92,0
p002,1987-11-10,26,2.6,7.06,0
p002,1988-02-11,0,22.4,-6.73,0
p002,1996-04-10,0,18.3,-5.51,0
p002,2001-01-13,33.3,5.3,7.3,0
p002,2001-02-20,28.8,0,7.5,0
p001,1987-03-08,36.5,4.2,8.78,0
p001,1988-02-11,40.8,5.9,9.49,0
p001,1995-02-19,29.8,3.8,7.08,0
p001,1998-10-12,34.3,7.5,7.3,0
p001,1999-02-24,0.2,25,-6.74,0
p001,2001-04-07,2.6,20.6,-4.9,0
p001,2003-03-07,2.2,23.1,-5.69,0
p001,2005-02-27,34.4,4,8.27,0
p001,2007-03-28,30,1.2,7.84,0
p001,2009-04-11,3.4,26.2,-6.21,0
p001,2009-04-12,32.7,2.1,8.34,0
p001,2009-12-24,35.8,2.3,9.1,0
p001,2010-02-21,0,18.4,-5,0
p001,2010-04-05,29.2,1.6,7.5,0
p001,2011-01-29,1.3,21.5,-5.5,0
p001,2011-02-02,0,18.9,-5.14,0
p001,2012-11-01,41.2,4.3,10.05,0
p001,2014-01-04,0,21.4,-5.82,0
p001,2014-03-04,34.9,1,9.22,0
p002,2003-03-07,37.1,12.6,7.66,0
p002,2004-03-25,38.6,3,11.11,0
p002,2007-02-27,36.3,4.1,10.07,0
p002,2009-12-26,36.3,9.8,8.26,0
p002,2012-12-08,36.9,9.2,8.65,0
p002,2013-05-04,27.9,0.2,8.64,0
p003,1986-01-04,0,20,-5.22,0
p003,1986-01-13,0,20.5,-5.35,0
p003,1986-01-15,0,25.8,-6.73,0
p003,1986-01-16,0,21.6,-5.63,0
p003,1986-01-27,2.5,28.7,-6.83,0
p003,1986-02-04,11.3,30.8,-5.09,0
p003,1986-03-09,1.4,24,-5.89,0
p003,1986-03-22,0,18.8,-4.9,0
p003,1986-05-01,0,26.7,-6.97,0
p003,1986-10-04,0,22.3,-5.83,0
p003,1986-11-05,0,21.5,-5.62,0
p003,1987-03-08,3.9,24.1,-5.27,0
p003,1990-05-19,0,19.3,-5.04,0
p003,1995-03-12,32.2,4.2,7.3,0
p003,2011-03-29,0,19.9,-5.21,0
p003,2011-10-29,33.2,4.5,7.48,0
p003,2012-01-04,40.8,0.4,10.55,0
p003,2012-11-01,0,21.6,-5.64,0
p003,2014-09-18,0,19.6,-5.11,0
p003,2015-01-19,4,28.9,-6.49,0
p003,2015-02-15,12,31.4,-5.07,0
p003,2015-02-17,29.8,0,7.77,0
p003,2017-03-29,1.6,21.3,-5.14,0
p003,2017-11-17,3.9,24.4,-5.34,0
p004,1995-04-07,0.8,21,-5.8,0
p004,1995-12-22,36.6,6.3,8.69,0
p004,1996-01-20,32.5,6.9,7.33,0
p004,1998-01-24,35.5,10.5,7.17,0
p004,1998-02-24,31.5,2.5,8.31,0
p004,1998-10-12,6.8,24.2,-4.98,0
p004,2008-10-17,39,3.1,10.29,0
p004,2011-03-29,36.5,9.2,7.81,0
p002,1986-01-04,31.5,0,9.52,0
p002,1986-01-13,29.6,1.3,8.56,0
p002,1986-10-04,0,16.4,-4.95,0
